base_id,text,genre,source_id
25,なんの気なしに言っただけで、別に悪気があってのことではありません。,tatoeba,tatoeba:198801
26,偽造カードと暗証番号が揃えば、口座にある限りの現金が引き出されてしまう。,tatoeba,tatoeba:74885
27,試合に負けようとは、彼らは夢にも思っていなかった。,tatoeba,tatoeba:151043
28,人は、誰にも思い出されなくなった時初めて、本当に死ぬのである。,tatoeba,tatoeba:1471086
29,この時計はあのブレスレットと同じくらい高価な贈り物です。,tatoeba,tatoeba:221617
30,ニューヨークに来たら、ぜひ私たちの家に遊びに来てください。,tatoeba,tatoeba:198727
31,実を言うと、私はそれに気づいていなかったのです。,tatoeba,tatoeba:149410
32,紅茶がいいですか？それともコーヒーですか？,tatoeba,tatoeba:173509
33,この文章は作者の気持ちを的確に表現している。,tatoeba,tatoeba:219900
34,彼の妻は彼に危険を冒さないでね、と懇願した。,tatoeba,tatoeba:117293
35,彼はその事件について何か知っているようだ。,tatoeba,tatoeba:112780
36,３人の男が飛び降り、古い芝刈り機をトラックと地面にかけた板で降ろした。,tatoeba,tatoeba:235287
37,彼はあやうく交差点でひかれそうになった。,tatoeba,tatoeba:114802
38,いつ彼のところに行っても、彼は机に向かっているだろう。,tatoeba,tatoeba:228618
39,このようにして彼は持っていたお金を全部使ってしまった。,tatoeba,tatoeba:223055
40,もしあなたが私の立場だったらどうおっしゃいますか。,tatoeba,tatoeba:193925
41,彼女は書く事ができず、読む事もできない。,tatoeba,tatoeba:88734
42,あなたは私を娘として取扱って下さった最初の方でした。私でも人間であることを教えて下さった最初の方でした。,tatoeba,tatoeba:3436319
43,あくまでも疑念で証拠が示されたわけではない。,tatoeba,tatoeba:10901559
44,中央銀行は主にその他の銀行及び政府と業務を行い、利潤をあげることの他に国民経済の利益になる広い責任を負う銀行である。,tatoeba,tatoeba:126551
45,あ、またコンピューターが固まっちゃったよ。,tatoeba,tatoeba:234773
46,彼は自分では友達だと言っているが、そんな者ではない。,tatoeba,tatoeba:105120
47,トムは、もはや朝食前に毎日は散歩しませんが、一週間で数回は行います。,tatoeba,tatoeba:11119794
48,そんなわけで、彼はほとんど言うことがなかった。,tatoeba,tatoeba:204185
49,あんな男に金を貸すとは、君はどうかしているよ。,tatoeba,tatoeba:229538
50,朝の通勤電車がとても混んでいて、立っているだけで疲れてしまった。,tatoeba,tatoeba:13059091
51,私たちは政治と宗教を分けなければならない。,tatoeba,tatoeba:165566
52,彼は明日会おうと言って別れたが、それから何の音沙汰もない。,tatoeba,tatoeba:99596
53,彼女は子供におもちゃを買ってやりました。,tatoeba,tatoeba:89748
54,君が行ってあの子を元気づけてやることが必要なんだ。,tatoeba,tatoeba:179004
55,チキンスープがかぜを治すというのは本当ですか。,tatoeba,tatoeba:203002
56,彼は私の手紙にすぐさま返事を書いてくれた。,tatoeba,tatoeba:105798
57,君はこれから世界でいちばんタフな１５歳の少年になる。,tatoeba,tatoeba:182455
58,彼の成功はいくらかは運がよかったためだ。,tatoeba,tatoeba:116740
59,３か月というのは、その実験を終わらせるには短すぎる時間だ。,tatoeba,tatoeba:235352
60,ニューヨークからボストンまで車で４時間です。,tatoeba,tatoeba:198744
61,何かあったら相談してね。できる範囲で力になるから。,tatoeba,tatoeba:3045953
62,あまりに親切すぎるので姉と口喧嘩をした。,tatoeba,tatoeba:230352
63,私をご存知のようですが私はあなたを知りません。,tatoeba,tatoeba:152167
64,あなたがメールでおっしゃることは全て正当です。価格を除いては。,tatoeba,tatoeba:232385
65,お願いだから、誰にもそのことは言わないで。,tatoeba,tatoeba:227351
66,混同しないように、両チームは色の違う服を着ていた。,tatoeba,tatoeba:170966
67,ミンはその時正夫と一緒に踊っていませんでした。,tatoeba,tatoeba:194904
68,彼は疲れすぎていてもうそれ以上歩けなかった。,tatoeba,tatoeba:100765
69,私は自分がした事に何も後悔はしていない。,tatoeba,tatoeba:156315
70,「昨日、メリッサと話したよ」「メリッサって、誰？」,tatoeba,tatoeba:10811078
71,家に帰るまで財布がなくなっているのに気がつかなかった。,tatoeba,tatoeba:187092
72,明日大阪を出発して東京に向かうつもりです。,tatoeba,tatoeba:152610
73,五人もの女性が外に立って彼の妻だと主張していた。,tatoeba,tatoeba:3556183
74,６ヵ月靴を買っていない。新しいのを買ってよい頃だ。,tatoeba,tatoeba:235085
75,ボブはメリアと話すと、たいてい彼女を怒らせる。,tatoeba,tatoeba:196027
76,メアリーは怒ってないって、トムが言ってたよ。,tatoeba,tatoeba:11344725
77,研究するにつれてますます心理学が面白く感じるようになった。,tatoeba,tatoeba:175217
78,ジョニー君。ここで笑いながら座って何してるんですか。,tatoeba,tatoeba:215545
79,彼女の美しさに魅せられて彼は彼女と結婚した。,tatoeba,tatoeba:94042
80,空気と水がなければ、私たちは生きることはできないだろう。,tatoeba,tatoeba:179388
81,弁護士は依頼人に法的手段を取るように勧めた。,tatoeba,tatoeba:83270
82,そのブドウは甘そうに見えますが、実際は酸っぱいのです。,tatoeba,tatoeba:212670
83,人間は万物の尺度である。あるものについては、あるということの、あらぬものについては、あらぬということの。,tatoeba,tatoeba:914456
84,まもなくその少年は人生とは何かがわかるだろう。,tatoeba,tatoeba:195305
85,彼らはこの成功をきわめて重要なものと考えた。,tatoeba,tatoeba:98077
86,今日の新聞によれば、その市で火災があった。,tatoeba,tatoeba:171886
87,この俳優さんね、ロシアではすごい有名なのよ。,tatoeba,tatoeba:11801333
88,そのような分配された支配はほとんど存在しない。,tatoeba,tatoeba:212483
89,今後の税制改革では銀行業界に何の影響も与えないだろう。,tatoeba,tatoeba:172431
90,火災が発生した時、母は偶然そこに居合わせた。,tatoeba,tatoeba:9461724
91,少し質問があるのですが、よろしいですか？,tatoeba,tatoeba:762123
92,彼女は、どこか別のところにいたいと願いつつ、彼の隣に座った。,tatoeba,tatoeba:3402192
93,人はみな月である。誰にも決して見せない暗い面がある。,tatoeba,tatoeba:144538
94,もう少し年を取れば、あなたの息子はもっと自立するでしょう。,tatoeba,tatoeba:194069
95,成功は能力によるよりむしろ熱心さによる。,tatoeba,tatoeba:143240
96,何が出世の障害になっているのか分からなかった。,tatoeba,tatoeba:187954
97,トムにはもうクリスマスカードを送ったの？,tatoeba,tatoeba:11570571
98,月曜日と水曜日と金曜日にサッカーの練習があります。,tatoeba,tatoeba:10979923
99,もし私が君の立場なら、彼を手伝ってやるだろうに。,tatoeba,tatoeba:193637
100,この美術館には、世界的に有名な画家の作品が数多く展示されている。,tatoeba,tatoeba:13066450
101,彼女は素っ裸で部屋へ入り込んで彼を絶句させた。,tatoeba,tatoeba:1661819
102,平和構築は、世界の安定と繁栄に不可欠だ。,tatoeba,tatoeba:13066283
103,あ、忘れてた。今日はゴミ出しの日だった！,tatoeba,tatoeba:886076
104,あんたは忍耐というものを知っているのか。,tatoeba,tatoeba:229601
105,見渡すかぎり砂のほかには何も見えなかった。,tatoeba,tatoeba:175115
106,生地を預ければドレスを仕立ててくれますか。,tatoeba,tatoeba:142776
107,赤身のお肉に一番合うワインはどれでしょうか？,tatoeba,tatoeba:9963831
108,トムはいつも不平を言うものを探しているみたいだ。,tatoeba,tatoeba:9032729
109,彼はテキサスかどこかその辺の出身だった。,tatoeba,tatoeba:111857
110,彼女は胸をどきどきさせて、その手紙を読んだ。,tatoeba,tatoeba:90447
111,彼が何を言っているのか殆ど分からなかった。,tatoeba,tatoeba:120576
112,首相の演説は野党を怒らせようという意図でなされたものだった。,tatoeba,tatoeba:148420
113,詩人はこの世を男が女を見つめるように見つめる。,tatoeba,tatoeba:151155
114,やせなくてはならないのでダイエットをするつもりです。,tatoeba,tatoeba:1392702
115,体育の後の現代文の授業は眠すぎる。起きているやつの方が少ないんじゃないか。,tatoeba,tatoeba:13479333
116,彼らは生計を立てるのは難しいとわかった。,tatoeba,tatoeba:96733
117,「おっさん、やさしいなー」ウィリーは言った。,tatoeba,tatoeba:236658
118,１９９１年現在で、この町の人口はおよそ１００万人です。,tatoeba,tatoeba:235883
119,彼は短気な性格なので、仕事を長く続けるのは難しいかもしれません。,tatoeba,tatoeba:13479244
120,私はあなたにはふさわしくないことは知っている。,tatoeba,tatoeba:4430560
121,煮込んだりんごに砂糖とシナモンを加えて。,tatoeba,tatoeba:10640394
122,一番近いアメリカン・エキスプレスのオフィスはどこにあるかご存じですか。,tatoeba,tatoeba:190117
123,スプーンとフォークとナイフがいります。どうもありがとうございます。,tatoeba,tatoeba:11187840
124,彼ならいざ知らず、私ではその試験には合格できっこない。,tatoeba,tatoeba:75800
125,日本経済は毎年５％以上の率で成長を続けた。,tatoeba,tatoeba:122367
126,おじいちゃんね、最近囲碁クラブに通い始めたのよ。,tatoeba,tatoeba:10906723
127,メアリーとジョンのほか誰も部屋にいなかった。,tatoeba,tatoeba:194866
128,この次のお手紙で、そちらの町について話してください。,tatoeba,tatoeba:221572
129,彼がいつここに来たのかははっきりしていない。,tatoeba,tatoeba:121089
130,そんなに早く朝食をとる必要はなかったのに。,tatoeba,tatoeba:204294
131,あなたの気が変わるかもしれないと思っていました。,tatoeba,tatoeba:2068075
132,次に、パム・ローランドさんにお話をうかがってみましょう。,tatoeba,tatoeba:150397
133,「これは海ですか、空ですか？」「海でも空でもありません。私の心象風景なのです」,tatoeba,tatoeba:3052922
134,テクトロニクスの新ソフトウェアは、ロジック・アナライザを使う顧客のニーズにまさしく応えるものです。,tatoeba,tatoeba:74320
135,もし患者に意識がなければ、その患者の家族が決めていいのです。,tatoeba,tatoeba:193743
136,トムって法律家になる前は、歴史の先生をしてたんだ。,tatoeba,tatoeba:9540359
137,私はその知らせを聞くとすぐに叫びたくなった。,tatoeba,tatoeba:159955
138,何らかの数字をゼロで割り算すると未定義の解になる。,tatoeba,tatoeba:9855952
139,彼にそのことを信じさせようとしても無駄だ。,tatoeba,tatoeba:119085
140,その本を読んだ人はほとんどいないようだ。,tatoeba,tatoeba:206613
141,最後に喘息の発作があったのはいつですか？,tatoeba,tatoeba:9854912
142,私たち、来週の今ごろは何をしているかしら。,tatoeba,tatoeba:167337
143,首相の辞任のニュースは私たちを驚かせた。,tatoeba,tatoeba:148419
144,あなたのチームはとてもよいが、彼等のチームが一番良い。,tatoeba,tatoeba:233504
145,私達はそのスタジアムに行き、そこでエキサイティングな試合を楽しんだ。,tatoeba,tatoeba:151796
146,なんでこんなわかりやすいウソつくんだろ？,tatoeba,tatoeba:10989181
147,もし１００万円もらったら、それで何する？,tatoeba,tatoeba:10669885
148,私の生きているうちに共産主義が効力を持つことは無いだろう。,tatoeba,tatoeba:4943
149,あなたはこの件を重く受け止めすぎています。,tatoeba,tatoeba:13535387
150,ジョンがヨーロッパへ行く計画について話したのは昨日になってのことだった。,tatoeba,tatoeba:215522
151,トイレットペーパーがなくなりそうだから買わないとね。,tatoeba,tatoeba:8897180
152,歴史の試験中、彼女は気分が悪くなったのでお手洗いにたたせてもらった。,tatoeba,tatoeba:77599
153,彼、一気呵成に書き上げたと言ってたけど、この提案書、少し雑だね。,tatoeba,tatoeba:121153
154,あるものを見て見ぬふりをすればそれを無視しているのである。,tatoeba,tatoeba:229918
155,その事故はきょうの新聞に報道されている。,tatoeba,tatoeba:209860
156,会費に関しては会の会計係に聞いてください。,tatoeba,tatoeba:185212
157,彼女のいないところで、そんなことを言うな。,tatoeba,tatoeba:94744
158,我々は自分の犯した過ちを正さなければならない。,tatoeba,tatoeba:185795
159,私の生徒でそんなことをする子はいません。,tatoeba,tatoeba:11816675
160,彼は自分のオフィスで働いている人に威張り散らそうとしたがうまくいかなかった。,tatoeba,tatoeba:105100
161,彼は家族に会うとすぐにわっと泣き出した。,tatoeba,tatoeba:109247
162,最初、彼は先生なんだと思ったけど、そうじゃなかった。,tatoeba,tatoeba:8841904
163,彼は優れた英語学者であるが、さらに、教えるのも上手である。,tatoeba,tatoeba:99366
164,言いそびれてたんだけど、私のこと呼び捨てでいいからね。,tatoeba,tatoeba:10769634
165,知識は学習によってのみ習得することができる。,tatoeba,tatoeba:127048
166,ほとんどの日本人が少なくとも１日に１度は米を食べる。,tatoeba,tatoeba:137296
167,そこは新しい家がたくさんあるエリアです。,tatoeba,tatoeba:7897646
168,いろいろ教えていただき、ありがとうございました。,tatoeba,tatoeba:11052239
169,私は彼女が言うことをほとんど理解できなかった。,tatoeba,tatoeba:153504
170,もう少し安ければその航空券を買っただろうに。,tatoeba,tatoeba:194113
171,何でお前が行きたいのか、理解に苦しむよ。,tatoeba,tatoeba:10612817
172,トムさんは目覚まし時計を六時に鳴るように設定しました。,tatoeba,tatoeba:1485424
173,今度の秘書は１分間に７０ワードもタイプが打てる。,tatoeba,tatoeba:172122
174,本名なんて、生きていくための記号に過ぎないよ。,tatoeba,tatoeba:10987786
175,私が家を買えるのはずっと先のことだろう。,tatoeba,tatoeba:167847
176,その給料では６人家族を養うには不十分だ。,tatoeba,tatoeba:211443
177,一人、また一人と、友人たちが来て彼に話しかけた。,tatoeba,tatoeba:876556
178,あなたの計画で、彼の支援をあてにすることは出来ない。,tatoeba,tatoeba:233380
179,私は内陸部のさして重要ではない小さな町に生まれた。,tatoeba,tatoeba:2142135
180,トムって、好きな映画が多すぎてさ、これって言うのが選べないんだ。,tatoeba,tatoeba:10185303
181,コーヒーをフォークで混ぜたことってある？,tatoeba,tatoeba:2960686
182,田中教授は彼の研究を手伝ってくれる人を求めている。,tatoeba,tatoeba:124874
183,遠方に明かりを見た時、私達は嬉しかった。,tatoeba,tatoeba:188648
184,君はもう１８歳だから車の免許がとれるよ。,tatoeba,tatoeba:177562
185,彼らは私に、会社の組合に入るよう頼んだ。,tatoeba,tatoeba:97036
186,この大きなソファーは小さな部屋には不似合いだろう。,tatoeba,tatoeba:220671
187,旅客は歩道橋を使って路線を渡ってください。,tatoeba,tatoeba:78194
188,彼は小さく息を吐き、スマートフォンの画面を見つめた。,tatoeba,tatoeba:13146773
189,ここで一緒にウェイクフィールドの叔母を待った。,tatoeba,tatoeba:11211552
190,近い将来私達が再会する時があるかも知れません。,tatoeba,tatoeba:179892
191,暗闇の中で、星の光だけが確かな存在だった。,tatoeba,tatoeba:13146796
192,健康に注意しなかったので、彼は病気になった。,tatoeba,tatoeba:175502
193,子どもから高齢者まで適度な運動は体にとってよい効果をもたらす。,tatoeba,tatoeba:75044
194,彼は貧しい人のために多くのことをしてきた。,tatoeba,tatoeba:100517
195,彼女と仲良くしようとやってみたが無駄だった。,tatoeba,tatoeba:95077
196,空港に着いたとき、私は彼女に電話をした。,tatoeba,tatoeba:179351
197,彼らの間でつまらないことをめぐってけんかが始まった。,tatoeba,tatoeba:98536
198,母は私の望むものは何でも言わなくてもかなえてくれる。,tatoeba,tatoeba:82938
199,こんな大騒ぎをすることは何もありはしない。,tatoeba,tatoeba:217332
